"dataResourceUid","images","dcterms:modified","dcterms:language","dcterms:license","rightsHolder","dcterms:accessRights","dcterms:bibliographicCitation","references","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","catalogNumber","recordNumber","recordedBy","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","behavior","establishmentMeans","occurrenceStatus","preparations","disposition","associatedMedia","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","organismName","organismScope","associatedOccurrences","associatedOrganisms","previousIdentifications","organismRemarks","materialSampleID","eventID","parentEventID","fieldNumber","eventDate","eventTime","startDayOfYear","endDayOfYear","year","month","day","verbatimEventDate","habitat","samplingProtocol","samplingEffort","sampleSizeValue","sampleSizeUnit","fieldNotes","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","minimumElevationInMeters","maximumElevationInMeters","verbatimElevation","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinates","verbatimLatitude","verbatimLongitude","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","identificationQualifier","typeStatus","identifiedBy","dateIdentified","identificationReferences","identificationVerificationStatus","identificationRemarks","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","raw_scientificName","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","measurementDeterminedDate","recordedByID","identifiedByID","videos","species","relationshipAccordingTo","subfamily","resourceRelationshipID","eventType","measurementRemarks","measurementValue","relationshipRemarks","resourceID","relationshipEstablishedDate","superfamily","identifierRole","relationshipOfResource","measurementMethod","identifier","provenance","sounds","recordID","rights","source","measurementID","measurementType","measurementUnit","measurementDeterminedBy","measurementAccuracy","degreeOfEstablishment","relatedResourceID","images","dcterms:type"
"dr1411","9d979835-05c1-4cde-b4a4-d7da8390ff8b","2023-10-09T01:42:07Z","","CC-BY-NC 4.0 (Int)","James Tweed","","","https://www.inaturalist.org/observations/148167859","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","https://www.inaturalist.org/observations/148167859","148167859","","James Tweed","","","","","","","","","PRESENT","","","","","","","","Attracted to UV light sheet (running a LepiLED).","","","","7dabe173-238c-4451-98e6-e1f10ea0f27d","","","","","","","","2023-02-05T21:11:00Z","21:11:00+12:00","36","36","2023","2","5","2023/02/05 9:11 PM","","","","","","","","","","","","","","","Australia","AU","","","","","Norfolk Island National Park","","","","","","","","","","","-29.016356","167.938151","EPSG:4326","25.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","332129868","","","James Tweed","2023-02-06T07:53:18Z","","research","","342375","","","","","","","https://biodiversity.org.au/afd/taxa/5454f70d-a20d-4693-8214-cad10af9e311","Kikihia convicta","Kikihia convicta","","","","","","","","Animalia","Arthropoda","Insecta","Hemiptera","Cicadidae","Kikihia","","","","species","","(Distant, 1892)","Norfolk Island Cicada","","","","","","","","","Kikihia convicta","","","","","","","","","","","","","","","","","dae1468f-9e44-42b8-afc0-60c9abc6cc6c","","","","","","","","","","9d979835-05c1-4cde-b4a4-d7da8390ff8b",""
"dr1411","480c9330-8e70-4a70-8a38-efcc5d39edd4 | f0d9f038-dad8-4ff9-ab61-efd9cf12b832","2025-03-30T11:45:11Z","","CC-BY-NC 4.0 (Int)","James Tweed","","","https://www.inaturalist.org/observations/148847271","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","https://www.inaturalist.org/observations/148847271","148847271","","James Tweed","","","","","","","","","PRESENT","","","","","","","","Calling from *Coprosma pilosa* in forest understorey. Numerous specimens heard but not overly abundant.","","","","dae1468f-9e44-42b8-afc0-60c9abc6cc6c","","","","","","","","2023-02-15T10:23:00Z","10:23:00+12:00","46","46","2023","2","15","2023/02/15 10:23 AM","","","","","","","","","","","","","","","Australia","AU","","","","","Norfolk Island National Park","","","","","","","","","","","-29.016539","167.938104","EPSG:4326","25.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","334219770","","","James Tweed","2023-02-15T20:17:51Z","","research","","342375","","","","","","","https://biodiversity.org.au/afd/taxa/5454f70d-a20d-4693-8214-cad10af9e311","Kikihia convicta","Kikihia convicta","","","","","","","","Animalia","Arthropoda","Insecta","Hemiptera","Cicadidae","Kikihia","","","","species","","(Distant, 1892)","Norfolk Island Cicada","","","","","","","","","Kikihia convicta","","","","","","","","","","","","","","","","","7dabe173-238c-4451-98e6-e1f10ea0f27d","","","","","","","","","","480c9330-8e70-4a70-8a38-efcc5d39edd4 | f0d9f038-dad8-4ff9-ab61-efd9cf12b832",""
"dr1411","cc30a791-5855-43ff-9bd5-9af8e9ed03d3","2023-10-09T01:42:18Z","","CC-BY-NC 4.0 (Int)","James Tweed","","","https://www.inaturalist.org/observations/150180395","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","https://www.inaturalist.org/observations/150180395","150180395","","James Tweed","","","","","","","","","PRESENT","","","","","","","","Adult emerging at night.","","","","","","","","","","","","2023-03-01T20:47:00Z","20:47:00+12:00","60","60","2023","3","1","2023/03/01 8:47 PM","","","","","","","","","","","","","","","Australia","AU","","","","","Norfolk Island National Park","","","","","","","","","","","-29.018459","167.941178","EPSG:4326","10.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","338365013","","","James Tweed","2023-03-04T03:35:59Z","","research","","342375","","","","","","","https://biodiversity.org.au/afd/taxa/5454f70d-a20d-4693-8214-cad10af9e311","Kikihia convicta","Kikihia convicta","","","","","","","","Animalia","Arthropoda","Insecta","Hemiptera","Cicadidae","Kikihia","","","","species","","(Distant, 1892)","Norfolk Island Cicada","","","","","","","","","Kikihia convicta","","","","","","","","","","","","","","","","","9e27e70c-1b79-479e-9e0b-b513e840045f","","","","","","","","","","cc30a791-5855-43ff-9bd5-9af8e9ed03d3",""
"dr1411","467dd396-bb4c-4c4e-ad04-f7e51eb19f74","2025-02-22T02:18:18Z","","CC-BY-NC 4.0 (Int)","James Tweed","","","https://www.inaturalist.org/observations/200961931","","","","iNaturalist","Observations","iNaturalist observations","","HUMAN_OBSERVATION","","","{""evidenceOfPresence"":""molt""}","https://www.inaturalist.org/observations/200961931","200961931","","James Tweed","","","","","","","","","PRESENT","","","","","","","","Shed skin found on understorey vegetation.","","","","","","","","","","","","2024-02-25T09:02:16Z","09:02:16+12:00","56","56","2024","2","25","2024-02-25 09:02:16","","","","","","","","","","","","","","","Australia","AU","","","","","Norfolk Island National Park","","","","","","","","","","","-29.0184","167.941107","EPSG:4326","20.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","needs_id","","342375","","","","","","","https://biodiversity.org.au/afd/taxa/5454f70d-a20d-4693-8214-cad10af9e311","Kikihia convicta","Kikihia convicta","","","","","","","","Animalia","Arthropoda","Insecta","Hemiptera","Cicadidae","Kikihia","","","","species","","(Distant, 1892)","Norfolk Island Cicada","","","","","","","","","Kikihia convicta","","","","","","","","","","","","","","","","","bd21d13b-277d-48bf-b2fa-241e41fa9d29","","","","","","","","","","467dd396-bb4c-4c4e-ad04-f7e51eb19f74",""
"dr1411","05c6c291-52b9-48a8-a8a0-3293c30d7292","2024-01-19T07:38:04Z","","CC-BY-NC 4.0 (Int)","mscott","","","https://www.inaturalist.org/observations/185373010","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","https://www.inaturalist.org/observations/185373010","185373010","","mscott","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","","","","2023-04-26T22:35:00Z","22:35:00+11:00","116","116","2023","4","26","2023/04/26 10:35 PM","","","","","","","","","","","","","","","Australia","AU","","","","","Burnt Pine 2899, Norfolk Island","","","","","","","","","","","-29.017979","167.940918","EPSG:4326","122.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","412749317","","","James Tweed","2023-09-29T04:31:47Z","","research","A shed skin of a cicada. The only cicada known from Norfolk Island is the endemic *Kikihia convicta*.","342375","","","","","","","https://biodiversity.org.au/afd/taxa/5454f70d-a20d-4693-8214-cad10af9e311","Kikihia convicta","Kikihia convicta","","","","","","","","Animalia","Arthropoda","Insecta","Hemiptera","Cicadidae","Kikihia","","","","species","","(Distant, 1892)","Norfolk Island Cicada","","","","","","","","","Kikihia convicta","","","","","","","","","","","","","","","","","868c5bb6-d508-4480-bb97-05169d7d5d5b","","","","","","","","","","05c6c291-52b9-48a8-a8a0-3293c30d7292",""
